"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042113","B cell activation","76/1147","350/18903",0.217142857142857,3.57859758375887,12.375807384911,6.42870002028636e-23,3.44899756088363e-19,2.67095568211266e-19,"MS4A1/CD79A/BANK1/CD19/LYN/MEF2C/IRF8/CD40/CD22/IGHM/SWAP70/TNFRSF13C/FCRL1/BLK/LAT2/CD79B/IGKC/POU2AF1/PLCG2/CXCR5/BLNK/IGHD/TPD52/CR2/SYK/PAX5/BTK/LAPTM5/CD74/SPI1/FCRL3/FCGR2B/LYL1/SKAP2/CCR6/SASH3/ZFP36L1/INPP5D/ITGA4/PRKCB/PAWR/VAV3/GAPT/SLC15A4/MZB1/IL6/SYVN1/BCL2/STAT6/PTPN6/HHEX/CDKN1A/BST2/LGALS1/TCF3/NCKAP1L/PTK2B/IKZF3/CARD11/KLF6/PRKCD/MALT1/AKIRIN2/PHB2/ADAM17/PTEN/HSPD1/BCL6/FNIP1/NOTCH2/BAX/HDAC5/ERCC1/CMTM7/TICAM1/PELI1",76
"GO:0002768","immune response-regulating cell surface receptor signaling pathway","68/1147","341/18903",0.19941348973607,3.28641080774275,10.8288438137525,1.62587076184473e-18,4.36139831864849e-15,3.37753257736903e-15,"MS4A1/CD79A/BANK1/CD19/HLA-DRB1/LYN/MEF2C/HLA-DQB1/CD40/CD22/IGHM/HLA-DPB1/BLK/LAT2/CD24/CD79B/IGKC/PLCG2/BLNK/IGHD/CR2/SYK/STAP1/BTK/LAPTM5/NFKBID/FCRL3/FCGR2B/CSK/RFTN1/INPP5D/PRKCB/PAWR/VAV3/RIPK2/BCL2/BTN2A2/ELF1/CD47/PTPN6/APPL1/MAP3K1/PDE4B/PRKCE/NCKAP1L/DUSP22/BTLA/CARD11/PTK2/FOXP1/PRKD2/EZR/PRKCD/MALT1/UBE2N/MAPK1/SPG21/BCL10/LPXN/KHDRBS1/PIK3CA/BAX/KLHL6/RAB29/RABGEF1/RC3H2/BAG6/PLSCR1",68
"GO:0002429","immune response-activating cell surface receptor signaling pathway","64/1147","312/18903",0.205128205128205,3.38059150962377,10.7764029502582,3.82208544637613e-18,4.9811592171302e-15,3.85748475597447e-15,"MS4A1/CD79A/BANK1/CD19/HLA-DRB1/LYN/MEF2C/HLA-DQB1/CD22/IGHM/HLA-DPB1/BLK/LAT2/CD79B/IGKC/PLCG2/BLNK/IGHD/CR2/SYK/STAP1/BTK/LAPTM5/NFKBID/FCRL3/FCGR2B/CSK/RFTN1/INPP5D/PRKCB/PAWR/VAV3/RIPK2/BCL2/BTN2A2/ELF1/CD47/PTPN6/APPL1/PDE4B/PRKCE/NCKAP1L/DUSP22/CARD11/PTK2/FOXP1/PRKD2/EZR/PRKCD/MALT1/UBE2N/MAPK1/SPG21/BCL10/LPXN/KHDRBS1/PIK3CA/BAX/KLHL6/RAB29/RABGEF1/RC3H2/BAG6/PLSCR1",64
"GO:0002757","immune response-activating signal transduction","64/1147","312/18903",0.205128205128205,3.38059150962377,10.7764029502582,3.82208544637613e-18,4.9811592171302e-15,3.85748475597447e-15,"MS4A1/CD79A/BANK1/CD19/HLA-DRB1/LYN/MEF2C/HLA-DQB1/CD22/IGHM/HLA-DPB1/BLK/LAT2/CD79B/IGKC/PLCG2/BLNK/IGHD/CR2/SYK/STAP1/BTK/LAPTM5/NFKBID/FCRL3/FCGR2B/CSK/RFTN1/INPP5D/PRKCB/PAWR/VAV3/RIPK2/BCL2/BTN2A2/ELF1/CD47/PTPN6/APPL1/PDE4B/PRKCE/NCKAP1L/DUSP22/CARD11/PTK2/FOXP1/PRKD2/EZR/PRKCD/MALT1/UBE2N/MAPK1/SPG21/BCL10/LPXN/KHDRBS1/PIK3CA/BAX/KLHL6/RAB29/RABGEF1/RC3H2/BAG6/PLSCR1",64
"GO:0030098","lymphocyte differentiation","76/1147","419/18903",0.181384248210024,2.9892819912067,10.465702922324,4.64227326852768e-18,4.9811592171302e-15,3.85748475597447e-15,"MS4A1/CD79A/CD19/HLA-DRA/HLA-DRB1/IRF8/CD79B/LY9/HLA-DOA/POU2AF1/CD83/PLCG2/BLNK/TPD52/CR2/SYK/PAX5/BTK/CD74/NFKBID/SPI1/FCRL3/FCGR2B/IRF4/LYL1/CCR6/SASH3/ZFP36L1/INPP5D/ITGA4/SMARCB1/RIPK2/IL6/SYVN1/BCL2/BTN2A2/CHD7/STAT6/IL4R/PTPN6/HHEX/RHOA/LGALS1/TCF3/NCKAP1L/PTK2B/RHOH/RNF41/IKZF3/LGALS9/CARD11/GPR18/TMEM131L/ARID1B/KLF6/FOXP1/DOCK2/MALT1/ADAM17/SMARCC1/BCL6/FNIP1/HMGB1/TNFSF9/NOTCH2/NRARP/BAX/HDAC5/CBFB/RC3H2/ARID1A/AP3B1/SMARCD1/CMTM7/SMARCE1/CLPTM1",76
"GO:0050863","regulation of T cell activation","71/1147","376/18903",0.188829787234043,3.1119873305014,10.5134608180375,6.3614910269035e-18,5.68823322655622e-15,4.40505352336634e-15,"HLA-DQA2/HLA-DQA1/HLA-DRB5/HLA-DRA/HLA-DRB1/LYN/HLA-DMA/HLA-DQB1/HLA-DPA1/HLA-DMB/HLA-DPB1/TNFRSF13C/CD24/HLA-DOA/CD83/SYK/HLA-DOB/LAPTM5/CD74/NFKBID/FCGR2B/MAP3K8/IRF4/CSK/SASH3/PAWR/SMARCB1/RIPK2/IL6/BTN2A2/IL4R/CD47/PTPN6/RHOA/PPP3CA/CORO1A/RAC2/FLOT2/LGALS1/NCKAP1L/CGAS/RHOH/DUSP22/CD55/LGALS9/DOCK8/CARD11/TMEM131L/ARID1B/MALT1/PTEN/HSPD1/SMARCC1/BCL6/PRKAR1A/RIPOR2/HMGB1/TNFSF9/BCL10/PIK3CA/NRARP/ITCH/CBFB/RC3H2/ARID1A/AP3B1/SMARCD1/SMARCE1/PELI1/CLPTM1/SIT1",71
"GO:0007159","leukocyte cell-cell adhesion","75/1147","414/18903",0.181159420289855,2.98557674083621,10.3822900203945,8.33953852243801e-18,6.3916605961257e-15,4.94979827790419e-15,"HLA-DQA2/HLA-DQA1/HLA-DRB5/HLA-DRA/HLA-DRB1/LYN/HLA-DMA/HLA-DQB1/HLA-DPA1/HLA-DMB/HLA-DPB1/TNFRSF13C/CD24/HLA-DOA/CD83/SYK/HLA-DOB/LAPTM5/CD74/NFKBID/ALOX5/FCGR2B/MAP3K8/CSK/SASH3/ITGA4/PAWR/SMARCB1/RIPK2/IL6/BTN2A2/IL4R/CD47/PTPN6/RHOA/PPP3CA/CORO1A/RAC2/FLOT2/LGALS1/NCKAP1L/SELL/IRAK1/RHOH/DUSP22/CD55/LGALS9/DOCK8/CARD11/KLF4/TMEM131L/ROCK1/ARID1B/EZR/MALT1/PTEN/HSPD1/SMARCC1/BCL6/PRKAR1A/RIPOR2/FERMT3/HMGB1/TNFSF9/BCL10/PIK3CA/NRARP/ITCH/CBFB/RC3H2/ARID1A/AP3B1/SMARCD1/SMARCE1/PELI1",75
"GO:1903037","regulation of leukocyte cell-cell adhesion","70/1147","377/18903",0.185676392572944,3.06001817681462,10.2686633920619,2.78732947468796e-17,1.86925282896261e-14,1.4475775574465e-14,"HLA-DQA2/HLA-DQA1/HLA-DRB5/HLA-DRA/HLA-DRB1/LYN/HLA-DMA/HLA-DQB1/HLA-DPA1/HLA-DMB/HLA-DPB1/TNFRSF13C/CD24/HLA-DOA/CD83/SYK/HLA-DOB/LAPTM5/CD74/NFKBID/ALOX5/FCGR2B/MAP3K8/CSK/SASH3/ITGA4/PAWR/SMARCB1/RIPK2/IL6/BTN2A2/IL4R/CD47/PTPN6/RHOA/PPP3CA/CORO1A/FLOT2/LGALS1/NCKAP1L/IRAK1/RHOH/DUSP22/CD55/LGALS9/DOCK8/CARD11/KLF4/TMEM131L/ARID1B/MALT1/PTEN/HSPD1/SMARCC1/BCL6/PRKAR1A/RIPOR2/HMGB1/TNFSF9/BCL10/PIK3CA/NRARP/ITCH/CBFB/RC3H2/ARID1A/AP3B1/SMARCD1/SMARCE1/PELI1",70
"GO:0050851","antigen receptor-mediated signaling pathway","55/1147","252/18903",0.218253968253968,3.59690912110267,10.5479723160717,5.11455076428097e-17,3.04884053892971e-14,2.36106805457509e-14,"MS4A1/CD79A/BANK1/CD19/HLA-DRB1/LYN/MEF2C/HLA-DQB1/CD22/IGHM/HLA-DPB1/BLK/LAT2/CD79B/IGKC/PLCG2/BLNK/IGHD/SYK/STAP1/BTK/LAPTM5/NFKBID/FCRL3/FCGR2B/CSK/RFTN1/INPP5D/PRKCB/PAWR/VAV3/RIPK2/BCL2/BTN2A2/ELF1/PTPN6/PDE4B/NCKAP1L/DUSP22/CARD11/FOXP1/PRKD2/EZR/MALT1/UBE2N/MAPK1/SPG21/BCL10/LPXN/KHDRBS1/PIK3CA/BAX/KLHL6/RAB29/RC3H2",55
"GO:0070661","leukocyte proliferation","66/1147","348/18903",0.189655172413793,3.12558999488922,10.1718901169453,7.63612136326159e-17,4.09677911138985e-14,3.172607475873e-14,"MS4A1/CD79A/CD19/HLA-DRB1/LYN/MEF2C/CD40/HLA-DPA1/HLA-DMB/CD22/HLA-DPB1/TNFRSF13C/BLK/CD24/ST6GAL1/CR2/SYK/BTK/CD74/FCRL3/FCGR2B/SASH3/INPP5D/PAWR/VAV3/GAPT/MZB1/RIPK2/IL6/BCL2/BTN2A2/STAT6/PTPN6/HHEX/PPP3CA/CORO1A/CDKN1A/RAC2/BST2/NCKAP1L/CNN2/CD55/IKZF3/LGALS9/DOCK8/CARD11/TMEM131L/PTK2/DOCK2/PIK3CG/PRKCD/MALT1/PTEN/HSPD1/NCSTN/BCL6/MAPK1/PRKAR1A/PSMB10/HMGB1/TNFSF9/BAX/ITCH/RC3H2/TICAM1/PELI1",66
"GO:1903131","mononuclear cell differentiation","79/1147","473/18903",0.167019027484144,2.75253764301026,9.81066119670393,1.41531834564501e-16,6.90289356762318e-14,5.34570479450801e-14,"MS4A1/CD79A/CD19/HLA-DRA/HLA-DRB1/LYN/IRF8/BLK/CD79B/LY9/HLA-DOA/POU2AF1/CD83/PLCG2/BLNK/TPD52/CR2/SYK/PAX5/BTK/CD74/NFKBID/SPI1/FCRL3/FCGR2B/IRF4/LYL1/CCR6/SASH3/ZFP36L1/INPP5D/ITGA4/SMARCB1/RIPK2/IL6/SYVN1/BCL2/BTN2A2/CHD7/STAT6/IL4R/PTPN6/HHEX/RHOA/LGALS1/TCF3/NCKAP1L/IFI16/PTK2B/RHOH/RNF41/IKZF3/LGALS9/CARD11/GPR18/TMEM131L/ARID1B/KLF6/FOXP1/DOCK2/MALT1/ADAM17/SMARCC1/BCL6/FNIP1/HMGB1/TNFSF9/NOTCH2/NRARP/BAX/HDAC5/CBFB/RC3H2/ARID1A/AP3B1/SMARCD1/CMTM7/SMARCE1/CLPTM1",79
"GO:1903039","positive regulation of leukocyte cell-cell adhesion","57/1147","275/18903",0.207272727272727,3.41593405722438,10.2572591599897,1.64561582939183e-16,7.35727410390596e-14,5.69758392860486e-14,"HLA-DQA2/HLA-DQA1/HLA-DRB5/HLA-DRA/HLA-DRB1/LYN/HLA-DMA/HLA-DQB1/HLA-DPA1/HLA-DMB/HLA-DPB1/TNFRSF13C/CD24/HLA-DOA/CD83/SYK/HLA-DOB/CD74/NFKBID/ALOX5/MAP3K8/CSK/SASH3/ITGA4/SMARCB1/RIPK2/IL6/BTN2A2/IL4R/CD47/PTPN6/RHOA/PPP3CA/CORO1A/FLOT2/LGALS1/NCKAP1L/IRAK1/RHOH/CD55/LGALS9/DOCK8/CARD11/ARID1B/MALT1/HSPD1/SMARCC1/BCL6/HMGB1/TNFSF9/BCL10/PIK3CA/CBFB/ARID1A/AP3B1/SMARCD1/SMARCE1",57
"GO:0050870","positive regulation of T cell activation","54/1147","251/18903",0.215139442231076,3.54558053748389,10.3186770291669,1.91494797798199e-16,7.90284300144108e-14,6.12008070372059e-14,"HLA-DQA2/HLA-DQA1/HLA-DRB5/HLA-DRA/HLA-DRB1/LYN/HLA-DMA/HLA-DQB1/HLA-DPA1/HLA-DMB/HLA-DPB1/TNFRSF13C/CD24/HLA-DOA/CD83/SYK/HLA-DOB/CD74/NFKBID/MAP3K8/CSK/SASH3/SMARCB1/RIPK2/IL6/BTN2A2/IL4R/CD47/PTPN6/RHOA/PPP3CA/CORO1A/FLOT2/LGALS1/NCKAP1L/RHOH/CD55/LGALS9/DOCK8/CARD11/ARID1B/MALT1/HSPD1/SMARCC1/BCL6/HMGB1/TNFSF9/BCL10/PIK3CA/CBFB/ARID1A/AP3B1/SMARCD1/SMARCE1",54
"GO:0022407","regulation of cell-cell adhesion","80/1147","490/18903",0.163265306122449,2.69067487500667,9.637377755258,3.44359170959066e-16,1.31963353728242e-13,1.02194409607175e-13,"HLA-DQA2/HLA-DQA1/HLA-DRB5/HLA-DRA/HLA-DRB1/LYN/HLA-DMA/HLA-DQB1/HLA-DPA1/HLA-DMB/SWAP70/HLA-DPB1/TNFRSF13C/BLK/CD24/HLA-DOA/CD83/SYK/HLA-DOB/LAPTM5/CD74/NFKBID/SPI1/ALOX5/FCGR2B/MAP3K8/CSK/SASH3/ADAM19/ITGA4/PAWR/SMARCB1/RIPK2/IL6/BTN2A2/IL4R/CD47/SH2B3/PTPN6/RHOA/PPP3CA/CORO1A/FLOT2/LGALS1/NCKAP1L/IRAK1/RHOH/DUSP22/CD55/LGALS9/DOCK8/CARD11/KLF4/TMEM131L/PTK2/ARID1B/SPINT2/PRKCD/JAK1/MALT1/PTEN/HSPD1/SMARCC1/BCL6/PRKAR1A/RIPOR2/FERMT3/HMGB1/TNFSF9/BCL10/PIK3CA/NRARP/ITCH/CBFB/RC3H2/ARID1A/AP3B1/SMARCD1/SMARCE1/PELI1",80
