"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04662","B cell receptor signaling pathway","34/656","91/9521",0.373626373626374,5.4227083891718,11.5314568664369,3.70881245467552e-17,1.19052879795084e-14,7.92514661367505e-15,"973/55024/930/4067/933/971/640/974/5336/29760/1380/6850/695/118788/2213/2885/3635/27071/5579/10451/5777/5530/5880/84433/4794/5533/10892/5594/5534/8915/5290/5605/208/4775",34
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","42/656","182/9521",0.230769230769231,3.34931988742964,8.70479775506796,1.64076231364734e-12,2.63342351340398e-10,1.75302499826531e-10,"3118/3117/3127/3122/3123/3108/3119/3113/3109/3115/3111/6850/4261/3112/972/2213/1520/3460/8767/3569/596/387/535/5530/533/11151/9114/817/5993/3654/4046/3459/5533/3716/10892/3329/5594/5534/5878/8915/581/208",42
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","50/656","252/9521",0.198412698412698,2.87970625241967,8.22630560191356,5.3809265541683e-12,5.75759141296008e-10,3.8327301420918e-10,"6643/8724/10094/80223/64744/7852/27131/23325/4088/387/10096/23527/81873/9922/7456/10097/10193/382/55737/9135/2060/79720/829/80230/10109/10093/9101/3304/29924/25978/10015/1785/6642/9815/156/51324/5878/23550/51028/83737/1213/4218/9525/9798/830/2870/5371/6455/51019/27183",50
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","41/656","183/9521",0.224043715846995,3.25170765027322,8.36645804081485,8.44588715987615e-12,6.77782444580061e-10,4.51188182488121e-10,"3118/3117/3127/3122/3123/3108/3119/3113/3109/3115/3111/9451/6850/3112/972/5452/6672/3460/3569/596/684/3654/115004/7188/3459/6892/1616/3716/5499/7187/5290/8683/6891/3454/581/208/27102/5610/148022/5371/10929",41
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","43/656","205/9521",0.209756097560976,3.04434116597264,8.04908638575222,2.6293247891818e-11,1.68802651465472e-09,1.12369038358717e-09,"3118/3117/3127/930/3122/3123/4067/2208/3108/3119/958/3113/3109/3115/3111/5336/29760/1380/6850/3112/695/3569/596/1026/5925/3654/7188/6892/4794/3716/3065/7187/5290/5710/6891/3454/581/208/11047/5610/7874/5709/3066",43
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","24/656","79/9521",0.30379746835443,4.40923124421118,8.27692521919131,2.65568232094419e-10,1.42079004170514e-08,9.4579563359942e-09,"3118/3117/3127/3122/3123/3108/3119/653361/3113/3109/3115/3111/1536/3112/1535/4689/3460/3676/5579/5777/3654/3459/3716/5594",24
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","26/656","99/9521",0.262626262626263,3.81168391229367,7.64968526723929,1.62847048903295e-09,7.46770038542255e-08,4.97112044020586e-08,"4067/653361/5336/6850/10094/4082/2213/3635/5579/10451/10096/5880/5581/81873/7408/10097/382/10109/10093/5580/10163/1785/5594/7454/5290/208",26
"Cellular Processes","Transport and catabolism","hsa04145","Phagosome","34/656","159/9521",0.213836477987421,3.10356266298512,7.27613454981096,1.95351617715314e-09,7.83848366082696e-08,5.21794452581693e-08,"3118/3117/3127/3122/3123/3108/3119/653361/3113/3109/3115/3111/1536/3112/1535/8417/200576/2213/4689/1520/535/533/11151/9114/23673/10376/8992/5878/9550/9296/6891/4074/51143/203068",34
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","27/656","109/9521",0.247706422018349,3.59514153054375,7.41249411312001,3.21174357975764e-09,1.14552187678022e-07,7.62554323614971e-08,"3118/3117/3127/3122/3123/3108/3119/3113/3109/3115/3111/3112/3662/3460/3569/6778/3566/4088/5530/3091/3459/4794/5533/3716/5594/5534/4775",27
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","35/656","173/9521",0.202312138728324,2.9363016354152,6.99145772369195,5.3074316156519e-09,1.6945576153544e-07,1.12803802563352e-07,"3118/3117/3127/3122/3123/3108/3119/3113/3109/3115/3111/4261/3112/3460/5579/3569/3459/293/3716/5594/8106/7187/5290/5605/291/3454/581/208/11100/7514/5610/4599/148022/5371/2224",35
